Date,Rt,lower_Rt,upper_Rt,Region
2020-11-14,0.7842862380007161,0.571672754064006,0.9987930178194924,Nevada
2020-11-15,0.7731679328357585,0.5600769566184111,0.9879773314171292,Nevada
2020-11-16,0.7627229938938854,0.5492010223583536,0.9780070658413555,Nevada
2020-11-17,0.752999016901521,0.5392020975032216,0.9689571810492977,Nevada
2020-11-18,0.7440613304296504,0.5299219478730484,0.9607292064472045,Nevada
2020-11-19,0.7359425313772467,0.5214024337649799,0.953266035255419,Nevada
2020-11-20,0.7286654685762826,0.5136866387230368,0.946805278318977,Nevada
2020-11-21,0.7222582952724251,0.5067740653897912,0.9412911111450698,Nevada
2020-11-22,0.7167164840108418,0.5008051631144812,0.9367504613380081,Nevada
2020-11-23,0.7120586580834114,0.4957228113303816,0.9331380502273938,Nevada
2020-11-24,0.708250711902073,0.4913301678509698,0.9303847333863347,Nevada
2020-11-25,0.7052975259049061,0.48776609083305195,0.9285390918571489,Nevada
2020-11-26,0.7031592589513405,0.4849995012228022,0.9274367678147288,Nevada
2020-11-27,0.701816813712351,0.48308358973229204,0.9272122726258419,Nevada
2020-11-28,0.7012230062182508,0.4817167068452651,0.927688066536564,Nevada
2020-11-29,0.7013524517394188,0.48110297254288115,0.9289524677395268,Nevada
2020-11-30,0.7021450895040011,0.4811298670601169,0.9309063806228093,Nevada
2020-12-01,0.7035576591467366,0.48181290136939814,0.9333136168020723,Nevada
2020-12-02,0.7055318318127541,0.48290689181413987,0.9361220769296908,Nevada
2020-12-03,0.708005428461064,0.48448315372197814,0.9393693466321072,Nevada
2020-12-04,0.7109290955200102,0.48662030159028985,0.9430498770044357,Nevada
2020-12-05,0.7142554299267119,0.4892204575693204,0.947116598382034,Nevada
2020-12-06,0.7179188302443359,0.492312779398834,0.9514309465572924,Nevada
2020-12-07,0.721955996158092,0.4954952209567861,0.9559248106564558,Nevada
2020-12-08,0.7263194234410861,0.4990941031262904,0.9607892303869455,Nevada
2020-12-09,0.7309454095640183,0.5029204965807427,0.9657390190735192,Nevada
2020-12-10,0.7357705180676462,0.5071699350681181,0.9709960413105954,Nevada
2020-12-11,0.740758413719693,0.511721021969156,0.9764409360796512,Nevada
2020-12-12,0.7458741070585658,0.5162747168599532,0.9818263517820407,Nevada
2020-12-13,0.7510983290641122,0.5210104074310028,0.9872683755804621,Nevada
2020-12-14,0.7563856275164184,0.5259600926526274,0.9927342785798183,Nevada
2020-12-15,0.7617219241373999,0.5310345853741671,0.9982644237796151,Nevada
2020-12-16,0.767081181144763,0.5362087527562834,1.0038211478103807,Nevada
2020-12-17,0.7724607847982738,0.5415913782076199,1.0094600160131453,Nevada
2020-12-18,0.7778412063229023,0.5469445819517759,1.0150227246073296,Nevada
2020-12-19,0.783205909530884,0.5523491718268798,1.0206113687177507,Nevada
2020-12-20,0.7885345551823284,0.5577741229354705,1.0261466169787956,Nevada
2020-12-21,0.7938490722481106,0.5632116786474457,1.0316222845747332,Nevada
2020-12-22,0.7991309307729777,0.5686221707227099,1.0371144696112062,Nevada
2020-12-23,0.8043822584729554,0.5739033215733765,1.0424964720451135,Nevada
2020-12-24,0.8095859912100973,0.5791034166476204,1.0478934105237219,Nevada
2020-12-25,0.8147392044136047,0.5842316477951217,1.0532013486866236,Nevada
2020-12-26,0.8198460862263809,0.5891279990875987,1.058543578634173,Nevada
2020-12-27,0.8249059008723069,0.5938421773317089,1.0639563186589258,Nevada
2020-12-28,0.8299177420531965,0.5983930972994433,1.0694612428532413,Nevada
2020-12-29,0.8348723481614465,0.6028280104466885,1.075185253252032,Nevada
2020-12-30,0.8397532999220014,0.6068925521353981,1.0807864092267427,Nevada
2020-12-31,0.8445541514339943,0.6108264926088743,1.0864795124329527,Nevada
2021-01-01,0.8492770510991833,0.6144405014678173,1.0921001138454693,Nevada
2021-01-02,0.8539051639676436,0.6177757385654389,1.0977712853260286,Nevada
2021-01-03,0.8584275378534081,0.6208459554355898,1.103471424399343,Nevada
2021-01-04,0.8628519158323074,0.6235458401445381,1.1091358614209028,Nevada
2021-01-05,0.8671885753038687,0.626043884283163,1.1148903977808993,Nevada
2021-01-06,0.871412806700152,0.6282319648600726,1.1206210402000452,Nevada
2021-01-07,0.8755266534109845,0.6302209731973774,1.1264867285735427,Nevada
2021-01-08,0.8795030374536799,0.6318636521061045,1.1323487425521874,Nevada
2021-01-09,0.8833512484257205,0.6332664403358134,1.138176417033087,Nevada
2021-01-10,0.8870684628887964,0.6344389850185821,1.1438858049487033,Nevada
2021-01-11,0.8906508798210774,0.6353175249515646,1.149533174727393,Nevada
2021-01-12,0.8940888637475543,0.6359510823990707,1.1551410841625176,Nevada
2021-01-13,0.8973957429698715,0.6363129903964537,1.160671734047939,Nevada
2021-01-14,0.9005749816567017,0.6365164541990253,1.166141743399943,Nevada
2021-01-15,0.9036231221884428,0.6364964300723546,1.171509798963224,Nevada
2021-01-16,0.9065342786973773,0.6363006367429254,1.1767717567058846,Nevada
2021-01-17,0.9093178707293292,0.6359358846698625,1.1820994563182947,Nevada
2021-01-18,0.9119734887560045,0.6351443344921461,1.187042598089278,Nevada
2021-01-19,0.9145034477968935,0.634106695999877,1.1918597517536131,Nevada
2021-01-20,0.9169405195626157,0.6329054462538033,1.1967614225004437,Nevada
2021-01-21,0.9192861133380574,0.6315237245939064,1.2016325624706072,Nevada
2021-01-22,0.9215489274297852,0.6298373541988037,1.2064368579567653,Nevada
2021-01-23,0.9236430011119829,0.6281986016101084,1.210873515786339,Nevada
2021-01-24,0.925641720476724,0.6263776184761708,1.2152344749483626,Nevada
2021-01-25,0.9275549911814123,0.6244137021705487,1.2194697499237217,Nevada
2021-01-26,0.9293977327934244,0.6223217278250278,1.2236506948270733,Nevada
2021-01-27,0.9311629722212825,0.6200934405209338,1.2277682743784504,Nevada
2021-01-28,0.932866181592276,0.6176145427498622,1.2318302170288313,Nevada
2021-01-29,0.9345130389200529,0.61492444440671,1.2357423790741358,Nevada
2021-01-30,0.936099697917713,0.6120831418740217,1.239572211836276,Nevada
2021-01-31,0.9376404261436528,0.6092769984867273,1.2434864624780677,Nevada
2021-02-01,0.9391213015611252,0.6063127981319552,1.247267477532883,Nevada
2021-02-02,0.9405535453093762,0.6031884019924336,1.2510124558021516,Nevada
2021-02-03,0.9419336614079058,0.5999673220967963,1.2546192994646235,Nevada
2021-02-04,0.943271570912265,0.5967709783142265,1.2582124413213838,Nevada
2021-02-05,0.9445559942503525,0.5933659367439279,1.261615334020488,Nevada
2021-02-06,0.9457896661040899,0.5899611618963572,1.2650845804527988,Nevada
2021-02-07,0.9469790028846734,0.586567123686398,1.2684562084642048,Nevada
2021-02-08,0.9481280368723572,0.5832091890657398,1.2718358576519475,Nevada
2021-02-09,0.9492148741811481,0.5797972202124573,1.2751484267812654,Nevada
2021-02-10,0.9502532651191307,0.5763847724730571,1.2782869209542076,Nevada
2021-02-11,0.9512476628015971,0.5730840294246653,1.2814190875310532,Nevada
2021-02-12,0.9522008636659254,0.5698662553909776,1.284444987303048,Nevada
2021-02-13,0.9531165897844482,0.5666339743495645,1.287437077339254,Nevada
2021-02-14,0.9539761102869782,0.5635009500049118,1.2903090340243788,Nevada
2021-02-15,0.9547937495081106,0.5603983001702826,1.2929756247188144,Nevada
2020-03-22,3.3777591902589688,3.0233937467551586,3.7330864657025327,New Hampshire
2020-03-23,3.3468788752144816,2.9842416981124122,3.710534092720433,New Hampshire
2020-03-24,3.3146798661555397,2.943406571936101,3.6868521881328276,New Hampshire
2020-03-25,3.2810890343696175,2.9013185939373645,3.661863319044573,New Hampshire
2020-03-26,3.2460832180486143,2.8578112440304766,3.6353106264104964,New Hampshire
2020-03-27,3.209610092753038,2.8128361520482787,3.607521119912474,New Hampshire
