Date,Rt,lower_Rt,upper_Rt,Region
2020-04-10,1.6526438895825555,1.4023782090482027,1.897934004314311,Sacramento
2020-04-11,1.6433645388168925,1.3889052548394685,1.893514532667921,Sacramento
2020-04-12,1.63410356099556,1.3755769488623555,1.8890116002671435,Sacramento
2020-04-13,1.6249025991179553,1.3625288559953885,1.8845772294226157,Sacramento
2020-04-14,1.6157969311009253,1.3498126251185505,1.8801566169127326,Sacramento
2020-04-15,1.6068351615635652,1.3373993079725557,1.875771828961326,Sacramento
2020-04-16,1.598043855475789,1.3253315408738136,1.8715153293010687,Sacramento
2020-04-17,1.5894538840268915,1.3137042662753402,1.8674230311161997,Sacramento
2020-04-18,1.5810974538616995,1.302522675187986,1.8634313770724806,Sacramento
2020-04-19,1.5724857408207795,1.2908497927462033,1.8595607778384906,Sacramento
2020-04-20,1.5642551117276704,1.2800480000056158,1.8557308966872437,Sacramento
2020-04-21,1.5564158226784321,1.2698898685904512,1.8520755796810582,Sacramento
2020-04-22,1.548957175350657,1.2601917061386503,1.848517533422007,Sacramento
2020-04-23,1.5418544676674486,1.251009590888338,1.8451624253226526,Sacramento
2020-04-24,1.5350900379188723,1.2423182710841796,1.8419879252746498,Sacramento
2020-04-25,1.5286679716346647,1.2340708866309584,1.838975977498522,Sacramento
2020-04-26,1.5225886086013876,1.226184330549765,1.8360363509353115,Sacramento
2020-04-27,1.5168163686437242,1.218663425353897,1.833056266829927,Sacramento
2020-04-28,1.5113526650445197,1.2113907154888428,1.8300576984395693,Sacramento
2020-04-29,1.5061754132695064,1.204471811355865,1.8269900825602663,Sacramento
2020-04-30,1.50126973787067,1.1977363559606764,1.8239066393194914,Sacramento
2020-05-01,1.4966151755202248,1.1913399741989534,1.8209812937208674,Sacramento
2020-05-02,1.4921967398566542,1.1850097191431628,1.817828672989648,Sacramento
2020-05-03,1.4880076943717195,1.1791156702278962,1.8146456111878475,Sacramento
2020-05-04,1.4840297564467264,1.173416077600855,1.8112640891208098,Sacramento
2020-05-05,1.4802501463323932,1.1680153374120716,1.8077061279223479,Sacramento
2020-05-06,1.4766554600278985,1.1628620093587976,1.804038744032892,Sacramento
2020-05-07,1.4732333119970444,1.157747783027201,1.8000580457780717,Sacramento
2020-05-08,1.4699546856251284,1.1531037873673111,1.7959572733840712,Sacramento
2020-05-09,1.4668169172842107,1.1486268899751324,1.7915339273163395,Sacramento
2020-05-10,1.4638181747727692,1.1445659236465808,1.7870018908114487,Sacramento
2020-05-11,1.4609338776076517,1.1407936812460056,1.7822046455153395,Sacramento
2020-05-12,1.4581605563886126,1.137465349140758,1.7773681492518467,Sacramento
2020-05-13,1.4554658243329812,1.1344524918929133,1.7724379890519044,Sacramento
2020-05-14,1.4528344328348026,1.1314564842154655,1.7672911647410194,Sacramento
2020-05-15,1.4502662575025815,1.1289941535684085,1.7621229825031088,Sacramento
2020-05-16,1.4477438672630285,1.1267298753343344,1.7568322323221721,Sacramento
2020-05-17,1.445260706483561,1.1246139307479104,1.75146886292659,Sacramento
2020-05-18,1.4428030947485444,1.1226819692123553,1.7460631292355029,Sacramento
2020-05-19,1.4403647447459462,1.1210587653138966,1.7406028375947256,Sacramento
2020-05-20,1.437929747467794,1.1197500685609647,1.735382515217802,Sacramento
2020-05-21,1.4355000448967647,1.1184928126156173,1.730083985125807,Sacramento
2020-05-22,1.4330657765416173,1.1174342761403036,1.7248448216373626,Sacramento
2020-05-23,1.4306123513599254,1.1165154816549046,1.71968598344169,Sacramento
2020-05-24,1.428117519610164,1.1158015362450673,1.714701249693299,Sacramento
2020-05-25,1.4255954336248307,1.115240009326553,1.710004800862174,Sacramento
2020-05-26,1.4230388322469045,1.1148750576955901,1.705370109571437,Sacramento
2020-05-27,1.4204547813266128,1.1145101591391593,1.7007721847774258,Sacramento
2020-05-28,1.4178238120433124,1.114251940614924,1.6962710656854216,Sacramento
2020-05-29,1.415146132387109,1.1140722827916398,1.6918147260349181,Sacramento
2020-05-30,1.41242137619308,1.1139037563277048,1.6874111346558853,Sacramento
2020-05-31,1.4096468775195572,1.1137628306710032,1.6830698995546804,Sacramento
